model,regime,horizon,trial_id,segment_len_s,divergence_t,final_error,max_error
sindy,full_envelope,short,A_roll_chirp_002,11.938000000000667,,0.03956554319774048,0.040109765416917756
sindy,full_envelope,short,A_roll_chirp_003,11.938000000000667,,0.04193973531562839,0.042293077807245165
sindy,full_envelope,short,A_pitch_chirp_002,11.938000000000667,,0.04038660653369963,0.04297870022322708
sindy,full_envelope,short,A_pitch_chirp_003,11.938000000000667,,0.041735784643127286,0.041735784643127286
sindy,full_envelope,short,A_yaw_chirp_002,11.938000000000667,,0.04275880785024999,0.042973965074000725
sindy,full_envelope,short,A_yaw_chirp_003,11.938000000000667,,0.044006139852042936,0.044115557840121986
sindy,full_envelope,short,A_combined_chirp_002,8.520000000000824,,0.05231819273396126,0.05311737287577085
sindy,full_envelope,short,A_combined_chirp_003,11.938000000000667,,0.09934634293341482,0.11404886434460298
dmdc,near_hover,short,A_hover_roll_chirp_002,11.938000000000667,,0.002114782567607576,0.010514829525286958
dmdc,near_hover,short,A_hover_roll_chirp_003,11.938000000000667,,0.0016616097753378587,0.008261646293740436
dmdc,near_hover,short,A_hover_roll_prbs_fast_002,11.938000000000667,,0.00133210331808567,0.002872039905355027
dmdc,near_hover,short,A_hover_roll_prbs_fast_003,11.938000000000667,,0.0002017913000418733,0.002140311156122688
dmdc,near_hover,short,A_hover_pitch_chirp_002,11.938000000000667,,0.0016223096536343144,0.011726491787736834
dmdc,near_hover,short,A_hover_pitch_chirp_003,11.938000000000667,,0.0012746875572229811,0.009213675588379875
dmdc,near_hover,short,A_hover_pitch_prbs_fast_002,11.938000000000667,,0.0016252594161074753,0.0028426108294226497
dmdc,near_hover,short,A_hover_pitch_prbs_fast_003,11.938000000000667,,0.0009023322961722705,0.002019542324918368
dmdc,near_hover,short,A_hover_yaw_chirp_002,11.938000000000667,,0.008149416741621618,0.029428448291562014
dmdc,near_hover,short,A_hover_yaw_chirp_003,11.938000000000667,,0.00640311521442363,0.02312235606457389
dmdc,near_hover,short,A_hover_yaw_prbs_fast_002,11.938000000000667,,0.004581470516955551,0.008993845126966389
dmdc,near_hover,short,A_hover_yaw_prbs_fast_003,11.938000000000667,,0.0008941129137012751,0.006245038263205121
dmdc,near_hover,short,A_hover_combined_chirp_002,11.938000000000667,,0.007667254293629872,0.02545263667739601
dmdc,near_hover,short,A_hover_combined_chirp_003,11.938000000000667,,0.005697802443993895,0.019654375913267345
dmdc,near_hover,short,A_hover_combined_prbs_fast_002,11.938000000000667,,0.0017232342111724542,0.006472758724857498
dmdc,near_hover,short,A_hover_combined_prbs_fast_003,11.938000000000667,,0.002849441285196689,0.005374202378824772
sindy,full_envelope,long,A_roll_chirp_002,11.938000000000667,,0.09993306469057416,0.10060402549142046
sindy,full_envelope,long,A_roll_chirp_003,11.938000000000667,,0.10220306736721413,0.10257349795448305
sindy,full_envelope,long,A_pitch_chirp_002,11.938000000000667,,0.09694408152585782,0.09730515034415457
sindy,full_envelope,long,A_pitch_chirp_003,11.938000000000667,,0.09949915821638115,0.09963481472613431
sindy,full_envelope,long,A_yaw_chirp_002,11.938000000000667,,0.10646321760641593,0.10684523846842907
sindy,full_envelope,long,A_yaw_chirp_003,11.938000000000667,,0.10682389745136119,0.10697972616170694
sindy,full_envelope,long,A_combined_chirp_003,11.938000000000667,,0.055910408018297476,0.11404886434460298
dmdc,near_hover,long,A_hover_roll_chirp_002,11.938000000000667,,0.00500980945951411,0.010514829525286958
dmdc,near_hover,long,A_hover_roll_chirp_003,11.938000000000667,,0.0039362751686871115,0.008261646293740436
dmdc,near_hover,long,A_hover_roll_prbs_fast_002,11.938000000000667,,0.0006410122670238289,0.002872039905355027
dmdc,near_hover,long,A_hover_roll_prbs_fast_003,11.938000000000667,,0.0007876184520448524,0.002174485373558381
dmdc,near_hover,long,A_hover_pitch_chirp_002,11.938000000000667,,0.004449272115009653,0.011726491787736834
dmdc,near_hover,long,A_hover_pitch_chirp_003,11.938000000000667,,0.003495861971127608,0.009213675588379875
dmdc,near_hover,long,A_hover_pitch_prbs_fast_002,11.938000000000667,,0.0012658887802628005,0.0028426108294226497
dmdc,near_hover,long,A_hover_pitch_prbs_fast_003,11.938000000000667,,0.0009974243555174787,0.002548201258681255
dmdc,near_hover,long,A_hover_yaw_chirp_002,11.938000000000667,,0.005688232636175152,0.029428448291562014
dmdc,near_hover,long,A_hover_yaw_chirp_003,11.938000000000667,,0.0044693151943342325,0.02312235606457389
dmdc,near_hover,long,A_hover_yaw_prbs_fast_002,11.938000000000667,,0.0019086898645315634,0.010914892603561597
dmdc,near_hover,long,A_hover_yaw_prbs_fast_003,11.938000000000667,,0.0039006475913214364,0.009835062894530948
dmdc,near_hover,long,A_hover_combined_chirp_002,11.938000000000667,,0.007705507470114518,0.02545263667739601
dmdc,near_hover,long,A_hover_combined_chirp_003,11.938000000000667,,0.0054017677761209245,0.019654375913267345
dmdc,near_hover,long,A_hover_combined_prbs_fast_002,11.938000000000667,,0.004767598414313176,0.008933895462512918
dmdc,near_hover,long,A_hover_combined_prbs_fast_003,11.938000000000667,,0.004618520549918421,0.006637614460508561
