t,px,py,pz,vx,vy,vz,qw,qx,qy,qz
0.0,0.018102879546246523,-5.858654189865398e-20,1.0029524023859553,0.1700786656103454,-4.798250694469761e-19,0.01785520247027323,0.9987352922511993,2.9686102642543434e-20,0.050277390663297304,-5.523690340458157e-20
0.002,0.01844499603718482,2.0792721064658403e-09,1.0029883133752595,0.17203374056014903,4.158580897092672e-06,0.018056195937219743,0.9987661303799116,-0.00031298714525464054,0.04966003172267219,9.710093788752828e-06
0.004,0.018790969295495657,3.0106506918624265e-08,1.0030243554889873,0.17393497117500856,2.7174534261426895e-05,0.017986364075845213,0.9988002404231268,-0.0008178475169914707,0.04896335856773848,1.933671238490977e-05
0.006,0.019140717319442335,1.2223110596874876e-07,1.003060262496073,0.1758085056371452,6.807822072200808e-05,0.017921080061444824,0.9988336404655835,-0.0012956738819681413,0.04826675132571337,2.4898213003909586e-05
0.008,0.01949418519376628,3.16280264234766e-07,1.0030960433572138,0.17765486578043177,0.00012921554123747749,0.017860204090614774,0.9988659632875677,-0.0017911554233778154,0.04757707562105548,3.198742392999439e-05
0.01,0.01985131845435415,6.509470141659892e-07,1.0031317068206624,0.17947390056401105,0.00020857926709838364,0.01780367258697585,0.9988975347271056,-0.002268807943484574,0.046888870476993874,3.8105333554530745e-05
0.012,0.020212062805648832,1.1639390899301212e-06,1.0031672614538312,0.1812659933978469,0.0003076087749786469,0.017751360769611427,0.9989281059696528,-0.002756747858656651,0.046206465364423355,4.4762156629845395e-05
0.014,0.020576364345373795,1.893444091732308e-06,1.003202715620918,0.18303110347737228,0.0004250140054981822,0.01770319642119447,0.9989579033200721,-0.003232705657825734,0.04552641452156184,5.0885210528672625e-05
0.016,0.02094416938639381,2.876968696454914e-06,1.0032380775053884,0.18476952698499635,0.000561665834879658,0.01765906589460693,0.9989867608429772,-0.003714313437302192,0.044851446514229266,5.728634494983835e-05
0.018000000000000002,0.02131542459843104,4.152257207678057e-06,1.0032733550952508,0.18648129264333718,0.0007167237624940505,0.017618891606692964,0.9990148355939693,-0.0041876083942788715,0.044179386450615435,6.33398475384837e-05
0.02,0.02169007689577035,5.756563646312752e-06,1.0033085561991002,0.18816664166211627,0.0008907021143439459,0.01758256824909762,0.9990420188915093,-0.0046636446578274,0.0435119532192854,6.95321774650387e-05
0.022,0.02206807352662688,7.727227576023251e-06,1.003343688436745,0.18982564661444248,0.0010830421644180614,0.017550015198660524,0.9990684201164463,-0.005133668404605603,0.0428477732985085,7.548574461549247e-05
0.024,0.022449362002350846,1.0101217620727676e-05,1.0033787592507666,0.1914585140584111,0.0012940345919330107,0.017521133508904906,0.9990939697435337,-0.005604609639232585,0.04218792874107747,8.149500031710964e-05
0.026000000000000002,0.022833890153777882,1.2915492410865567e-05,1.003413775900845,0.19306534421691557,0.0015232972532109468,0.017495841141468953,0.9991187446023428,-0.006070980326402393,0.04153155132313128,8.733159505509803e-05
0.028,0.023221606086585536,1.6206714293727076e-05,1.0034487454722243,0.19464632179505273,0.0017709805204907984,0.01747404413039701,0.9991427017188232,-0.006537124999795583,0.04087932139090899,9.317384258232476e-05
0.03,0.023612458216813816,2.0011475560802345e-05,1.003483674872569,0.196201564438697,0.0020368128859173623,0.017455660141632037,0.9991658958434144,-0.006999603101841492,0.04023068930354396,9.888379169742811e-05
0.032,0.02400639524269769,2.4366118876412024e-05,1.003518570838313,0.19773124305657275,0.002320856677446808,0.01744059923297568,0.9991883018695105,-0.007461138337194823,0.03958608198694493,0.0001045693986523805
0.034,0.024403366167041664,2.930687904668693e-05,1.003553439933229,0.1992354862570973,0.00262290968381396,0.017428779536467487,0.9992099596481772,-0.00791957382678094,0.03894515063298091,0.00011014746313147187
0.036000000000000004,0.02480332027942838,3.48697703678045e-05,1.0035882885533391,0.20071445621994638,0.0029429789656952813,0.017420114474824142,0.9992308560114215,-0.008376617207101675,0.0383081622661616,0.00011568334435491059
0.038,0.025206207170291962,4.109067544966555e-05,1.0036231229266348,0.20216828843041162,0.0032809056978595438,0.017414523158224927,0.9992510207931339,-0.008830916429643693,0.0376748946534299,0.00012112697620531693
0.04,0.025611976719657054,4.800527453001032e-05,1.0036579491170121,0.20359713952204472,0.0036366622330119315,0.017411921921850294,0.9992704487462092,-0.009283542201884027,0.03704551389767279,0.0001265179503257754
0.042,0.026020579105965745,5.5649101111065676e-05,1.003692773024759,0.20500114926883464,0.004010116894978046,0.017412231193588004,0.9992891629843346,-0.009733647102939655,0.03641987751196276,0.00013182623460658235
0.044,0.026431964798922597,6.405749759366343e-05,1.0037276003898306,0.20638047075329458,0.004401220227208278,0.017415369910117807,0.9993071634758324,-0.010181902601356492,0.035798087875099666,0.00013707584801150462
0.046,0.02684608456500155,7.326565011486553e-05,1.0037624367928417,0.20773524639435656,0.004809857530701996,0.017421260038530416,0.9993244688275156,-0.01062777769864573,0.03518005271532156,0.00014224885988567564
0.048,0.027262889462868478,8.330856069220996e-05,1.0037972876578973,0.20906562696988917,0.00523596563509958,0.01742982290217148,0.9993410824111818,-0.01107169363623952,0.03456583414782847,0.0001473598870989778
0.05,0.027682330846783003,9.422106902919937e-05,1.0038321582539131,0.21037175649574721,0.005679440449261179,0.017440982148559537,0.9993570198050385,-0.01151331784712251,0.033955371494055656,0.00015239830124629049
0.052000000000000005,0.028104360363635054,0.0001060378350189296,1.0038670536971435,0.21165378421972839,0.006140210172724609,0.017454661337677136,0.9993722865765011,-0.011952914762800231,0.03334870140276933,0.00015737304854449737
0.054,0.028528929955007953,0.00011879335238693026,1.0039019789527128,0.21291185508248017,0.006618177336875442,0.01747078588442695,0.9993868962580845,-0.012390276275864105,0.03274578304639617,0.0001622779019950706
0.056,0.028955991855221654,0.00013252193769765837,1.003936938836937,0.21414611727904984,0.0071132647063979,0.017489281478773468,0.9994008558109455,-0.012825568571545987,0.03214663694087416,0.00016711839144610191
0.058,0.02938549859254059,0.00014725773888755623,1.0039719380189862,0.21535671624002437,0.007625378944401868,0.01751007535342362,0.9994141773728703,-0.01325866162669459,0.03155123470613103,0.00017189093962793322
0.06,0.0298174029878409,0.00016303472835633173,1.004006981023062,0.21654379939783516,0.008154439391790088,0.01753309525050062,0.9994268687683178,-0.013689660093531817,0.03095958661325893,0.00017659902050917714
0.062,0.030251658155268167,0.00017988670830411377,1.0040420722301406,0.21770751238803204,0.008700355289462596,0.017558270246408676,0.999438941169948,-0.014118482958625158,0.030371672062394408,0.00018124064989214153
0.064,0.03068821750128755,0.00019784730639130885,1.0040772158800473,0.21884800205278074,0.009263043823008004,0.017585530076638482,0.999450402915753,-0.014545196356048725,0.029787494794759495,0.0001858180660378209
0.066,0.031127034724984095,0.00021694997907962008,1.004112416073244,0.21996541404238246,0.009842415844403528,0.01761480567074394,0.9994612644958873,-0.014969750053744376,0.02920703904897445,0.00019033024111745017
0.068,0.03156806381734399,0.00023722800890971585,1.004147676772829,0.22105989470706444,0.010438387186642015,0.017646028711260475,0.999471534531898,-0.015392186094760013,0.028630304380938245,0.00019477867154254913
0.07,0.032011259061319235,0.0002587145065981512,1.0041830018063465,0.22213158958168097,0.01105086971406748,0.01767913197932291,0.999481223016834,-0.01581247359972692,0.0280572780142407,0.00019916290264471412
0.07200000000000001,0.03245657503124451,0.0002814424093366005,1.0042183948677292,0.2231806445764188,0.011679778417627584,0.017714049066285997,0.9994903387049747,-0.016230639564022823,0.027487956799723164,0.00020348398597856102
0.074,0.03290396659274325,0.0003054444821160116,1.0042538595191137,0.22420720501858465,0.012325025805882477,0.017750714595893956,0.9994988912135818,-0.0166466652950943,0.026922329778692286,0.00020774180967936614
0.076,0.033353388902220234,0.000330753316673423,1.004289399192738,0.22521141640119327,0.012986526354947582,0.017789064035297154,0.9995068893309933,-0.01706056840886815,0.026360392032117808,0.00021193715879981543
0.078,0.03380479740665784,0.0003574013323386888,1.0043250171927527,0.22619342377617943,0.01366419299383702,0.0178290338368841,0.9995143423778958,-0.01747233790615012,0.02580213368454192,0.00021607012598369262
0.08,0.03425814784314676,0.000385420775394255,1.0043607166970816,0.2271533722241962,0.014357939895942348,0.01787056131387084,0.9995212591122847,-0.01788198557573954,0.02524754863847458,0.0002201413367266247
0.082,0.034713396238603596,0.00041484371962945425,1.0043965007592208,0.22809140646954118,0.015067680277332792,0.017913584729932798,0.9995276486099027,-0.018289505293722527,0.02469662764012005,0.00022415100526625555
0.084,0.035170498909316186,0.0004457020659659844,1.0044323723100672,0.22900767117417506,0.015793328148459785,0.01795804321666576,0.9995335195564747,-0.018694905247633932,0.024149363788119424,0.0002280996615576595
0.08600000000000001,0.035629412460602305,0.0004780275428355968,1.0044683341597016,0.2299023106925528,0.016534796935541527,0.0180038768293463,0.9995388808164156,-0.019098182421081453,0.02360574816085521,0.00023198759178911236
0.088,0.03609009378635521,0.0005118517059787969,1.0045043889991876,0.23077546925483206,0.01729200058037031,0.018051026491494614,0.9995437409759642,-0.019499342794644228,0.023065773290932852,0.00023581526862047174
0.09,0.03655250006865612,0.0005472059387183805,1.0045405394023363,0.23162729081001,0.018064852677665666,0.01809943402868181,0.9995481087100934,-0.019898385350157425,0.022529430407938037,0.00023958302050836446
0.092,0.037016588777311,0.0005841214518732192,1.0045767878274774,0.23245791913929886,0.018853267166155836,0.018149042130602897,0.9995519924879617,-0.020295314734260633,0.02199671163000795,0.00024329128561446643
0.094,0.037482317669425246,0.0006226292839729105,1.0046131366192026,0.23326749775502287,0.0196571577893608,0.01819979437066852,0.999555400809368,-0.020690131230529554,0.021467608225367772,0.0002469404169390621
0.096,0.0379496447889262,0.0006627603012500425,1.0046495880101098,0.23405616997000647,0.020476438530398242,0.018251635179369508,0.9995583420150808,-0.021082838697893066,0.02094211199483069,0.0002505308316972283
0.098,0.0384185284661055,0.00070454519782418,1.0046861441225254,0.23482407883170273,0.021311023275489876,0.018304509854669606,0.9995608244390745,-0.02147343828398331,0.020420214175821932,0.0002540628968599736
0.1,0.03888892731712431,0.000748014495749503,1.0047228069702214,0.23557136716389562,0.022160826088066504,0.018358364542636934,0.9995628562865279,-0.021861933401396694,0.019901906314633545,0.00025753701672391155
0.10200000000000001,0.03936080024352688,0.0007931985451856657,1.004759578460115,0.23629817752311133,0.023025760999324706,0.018413146241885624,0.9995644457317605,-0.022248325786394043,0.019387179575627928,0.00026095356592796835
0.10400000000000001,0.03983410643172677,0.0008401275244861681,1.0047964603939599,0.237004652222916,0.02390574218154863,0.018468802788873775,0.9995656008398546,-0.022632618618209477,0.01887602529170206,0.0002643129405850123
0.106,0.04030880535249427,0.0008888314403669282,1.0048334544700215,0.23769093330444166,0.02480068381827688,0.01852528285849505,0.9995663296296159,-0.023014814048036025,0.018368434529012226,0.0002676155192440381
0.108,0.04078485676042263,0.0009393401280260555,1.004870562284743,0.23835716254976438,0.025710500214404554,0.01858253595236569,0.9995666400232871,-0.023394915154229624,0.01786439843449647,0.00027086169260941514
0.11,0.04126222069339122,0.000991683251316777,1.0049077853343964,0.239003481461392,0.026635105716219867,0.018640512396923995,0.9995665398870098,-0.02377292439300683,0.017363907961738756,0.00027405184089622416
0.112,0.04174085747201155,0.0010458903028926108,1.004945125016723,0.23963003126881222,0.027574414781835734,0.01869916333362636,0.9995660369986105,-0.024148844823885712,0.016866954090501513,0.00027718635101263927
0.114,0.04222072769906747,0.0011019906043886597,1.0049825826325587,0.24023695291369127,0.028528341932451972,0.01875844071543204,0.999565139073604,-0.024522679138198722,0.016373527654207416,0.0002802656034945778
0.116,0.04270179225894099,0.0011600133065882694,1.0050201593874497,0.24082438705217124,0.02949680179787999,0.018818297298214173,0.9995638537445982,-0.02489443042705606,0.015883619478750412,0.0002832899823780915
0.11800000000000001,0.043184012317030736,0.0012199873896150547,1.0050578563932533,0.24139247404372835,0.03047970908734284,0.018878686636196667,0.999562188578017,-0.025264101572087454,0.015397220274057809,0.0002862598677071638
0.12,0.04366734931915776,0.0012819416631184388,1.0050956746697264,0.2419413539508456,0.031476978619348735,0.018939563074135423,0.9995601510609694,-0.025631695726621523,0.014914320721989529,0.0002891756411638891
0.122,0.04415176499096317,0.0013459047664777482,1.0051336151461017,0.2424711665302361,0.03248852530470229,0.019000881742073802,0.9995577486120215,-0.025997215933507394,0.0144349114083076,0.0002920376818024265
0.124,0.04463722133729434,0.0014119051690048524,1.005171678662651,0.24298205123091632,0.03351426416652968,0.0190625985480098,0.9995549885728592,-0.02636066542651607,0.013958982878463222,0.00029484636923068485
0.126,0.04512368064158253,0.0014799711701610153,1.0052098659722353,0.24347414718697702,0.03455411033090841,0.01912467017220738,0.9995518782152502,-0.026722047390518425,0.013486525595044412,0.00029760208120101347
0.128,0.045611105465209925,0.0015501308997753758,1.0052481777418423,0.24394759321470305,0.035607979040682324,0.01918705406016876,0.9995484247357833,-0.02708136515018941,0.01301752997330678,0.00030030519538765403
0.13,0.046099458646868,0.0016224123182748407,1.0052866145541106,0.24440252780637564,0.03667578565083115,0.019249708416655725,0.9995446352603946,-0.027438622019430238,0.01255198635468425,0.0003029560880388162
0.132,0.046588703301905926,0.0016968432169174703,1.005325176908842,0.2448390891268455,0.03775744563835658,0.0193125921988526,0.9995405168410817,-0.027793821419427562,0.012089885029540514,0.00030555513495484406
0.134,0.047078802821670325,0.0017734512180354513,1.0053638652245,0.2452574150080401,0.03885287460058747,0.019375665110198056,0.9995360764588757,-0.028146966784024504,0.011631216220805214,0.00030810271074218276
0.136,0.047569720872835605,0.0018522637752826563,1.0054026798396951,0.24565764294524595,0.03996198826256739,0.01943888759366709,0.999531321021823,-0.028498061633496708,0.01117597009866146,0.0003105991893407126
0.138,0.04806142139672574,0.001933308173890577,1.0054416210146577,0.24603991009211412,0.04108470247716489,0.019502220825479324,0.9995262573669682,-0.02884710951499979,0.010724136770562963,0.00031304494361577716
0.14,0.04855386860862709,0.0020166115309294607,1.0054806889326988,0.24640435325681234,0.04222093323085985,0.01956562670845566,0.9995208922591515,-0.02919411404858812,0.010275706290831365,0.0003154403456340578
0.14200000000000002,0.04904702699709284,0.0021022007955769895,1.005519883701656,0.2467511088973979,0.043370596644950445,0.019629067865646936,0.9995152323923626,-0.029539078889654107,0.009830668654692894,0.000317785766443273
0.14400000000000002,0.049540861323238844,0.0021901027493924775,1.005559205355327,0.24708031311793985,0.0445336089803012,0.019692507633738362,0.9995092843890635,-0.02988200775754948,0.009389013804660942,0.0003200815762097676
0.146,0.05003533662003135,0.002280344006598024,1.005598653854892,0.24739210166417583,0.04570988663920318,0.019755910056628148,0.9995030548011452,-0.030222904411813845,0.008950731627103014,0.0003223281441008957
0.148,0.050530418191566444,0.0023729510143653144,1.0056382290903196,0.2476866099196673,0.046899346169437056,0.019819239878864033,0.9994965501095908,-0.03056177266989282,0.008515811956591348,0.0003245258383479551
