t,px,py,pz,vx,vy,vz,qw,qx,qy,qz
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.002,-2.9740140867934637e-09,0.0,1.0000042084571739,-5.948027965113971e-06,0.0,0.004208456060207548,0.9999999299018263,0.0,-0.0003744280205321799,0.0
0.004,-3.792400109169874e-08,0.0,1.0000127060193544,-3.2385626835146095e-05,0.0,0.00428910184303684,0.9999996042450688,0.0,-0.0008896683123118952,0.0
0.006,-1.4265054371556727e-07,-5.401007604196674e-26,1.000021365459013,-7.539643154077578e-05,-5.401321707181937e-23,0.004370330957172685,0.9999990820876763,2.7411448058592284e-21,-0.0013549257563075375,3.451002612394508e-22
0.008,-3.5437287360304056e-07,-3.240179449864916e-25,1.0000301879092717,-0.0001396173178592683,-2.4294158814428966e-22,0.004452108732487093,0.9999982774654035,6.844612816020733e-21,-0.0018560889596353942,-1.6490952912384062e-22
0.01,-7.121225086041696e-07,-1.1332497148880162e-24,1.0000391744512915,-0.00022121165824931326,-5.930994794322684e-22,0.004534420412457251,0.9999972973070961,1.0928825802240585e-20,-0.002324946989373719,-1.1875080879864002e-21
0.012,-1.253183282381025e-06,-2.8033050204166356e-24,1.0000483261176678,-0.00032307213203243635,-1.1036231296315117e-21,0.0046172293953305145,0.9999960360006364,1.4992469294368725e-20,-0.002815667418935479,-2.2077557021416454e-21
0.014,-2.01591832834191e-06,-5.654053124105425e-24,1.0000576438879667,-0.0004427470551212402,-1.773647897467681e-21,0.004700522087341618,0.9999946036141599,1.903757486438204e-20,-0.003285230975017599,-3.910635436259263e-21
0.016,-3.0375247148352963e-06,-1.0003584173710193e-23,1.0000671286954412,-0.0005820289716136122,-2.6022588505582977e-21,0.004784263031127684,0.9999929018180229,2.306272572245603e-20,-0.0037677995660686378,-5.9528498582382616e-21
0.018000000000000002,-4.3558164269830384e-06,-1.6168161179160378e-23,1.0000767814209515,-0.0007393396700136947,-3.588541728952972e-21,0.004868437850719609,0.9999910270875259,2.7068135891284518e-20,-0.004236241781955125,-8.33262528999097e-21
0.02,-6.007808156979895e-06,-2.4462165929781126e-23,1.0000866029001363,-0.0009157777905407954,-4.73153121795024e-21,0.0049530133630421875,0.9999888979834176,3.1054921453171154e-20,-0.004712102493601559,-1.1392356132778354e-20
0.022,-8.03083982010808e-06,-3.51980442837846e-23,1.0000965939176119,-0.0011103160041110948,-6.0302515612638e-21,0.005037973825756991,0.9999865926676752,3.502142049318448e-20,-0.005178270453847217,-1.4787282520055497e-20
0.024,-1.0461683313559287e-05,-4.8470132570864735e-23,1.0001067552134044,-0.0013236152717736238,-7.051495041618916e-21,0.00512328853523456,0.9999840480380252,6.05898066373076e-21,-0.005648333336882643,-1.594532740124879e-20
0.026000000000000002,-1.3337251733824662e-05,-6.242713208883203e-23,1.0001170874781369,-0.0015549956890497693,-6.824111718426218e-21,0.005208940415539297,0.9999813246129595,4.6296268874761996e-21,-0.006111499432289091,-1.386145661752844e-20
0.028,-1.6694035985031727e-05,-7.659565466320087e-23,1.0001275913583523,-0.0018048421492259234,-7.40716431375996e-21,0.0052949010539918365,0.999978375654984,8.694010558008531e-21,-0.006576338070657664,-1.2092460160916166e-20
0.03,-2.056855206833698e-05,-9.151235826993604e-23,1.0001382674528296,-0.0020726938543044002,-7.500138014956936e-21,0.0053811523121367255,0.9999752467418314,1.2753324023207516e-20,-0.007036043178774337,-1.2384008630040491e-20
0.032,-2.4996985735757572e-05,-1.072805044888804e-22,1.0001491163168077,-0.0023587615663130954,-8.186513288310111e-21,0.0054676677501274175,0.9999719044533395,3.6516488442501923e-22,-0.007496019207654617,-1.3818956748174213e-20
0.034,-3.001547458506196e-05,-1.2295842621253872e-22,1.0001601384593288,-0.002662722667735558,-7.410280868643507e-21,0.005554428494089922,0.9999683825566237,-2.841271993761563e-20,-0.007951973785811856,-1.5373987248952897e-20
0.036000000000000004,-3.565988393524435e-05,-1.3692475158541215e-22,1.0001713343465164,-0.0029846780876092585,-6.691928993330594e-21,0.005641409751362835,0.9999646578991962,-7.71354251244898e-21,-0.00840731541836158,-1.653362331634717e-20
0.038,-4.196598473803445e-05,-1.500523611431526e-22,1.0001827043997653,-0.003324392353877422,-6.354782943297588e-21,0.005728592216129624,0.9999607553028151,-2.0024962632930575e-20,-0.008859337121024085,-1.591120531990598e-20
0.04,-4.896931222113559e-05,-1.6155171345629844e-22,1.000194248998265,-0.0036818971217096818,-5.100003116736411e-21,0.005815952458919736,0.9999566592542608,-3.228929588048883e-20,-0.009310188669337062,-1.5290102809604752e-20
0.042,-5.670527809665547e-05,-1.7052802532303925e-22,1.0002059684778457,-0.00405701188207457,-3.796016161726875e-21,0.005903470993663015,0.9999523879939752,-4.450586490239342e-20,-0.009758163000628208,-1.501303033599963e-20
0.044,-6.520908141169145e-05,-1.7598227587185939e-22,1.0002178631329277,-0.004449724602714444,-1.5783259822989636e-21,0.005991125525349939,0.99994793154953,-5.66632627598461e-20,-0.010204616103370838,-1.473674343525086e-20
0.046,-7.451577932342106e-05,-1.7706425741290969e-22,1.000229933215857,-0.004859889445637826,4.677976500499651e-22,0.0060788965835963694,0.9999433034190686,-5.779230963697312e-20,-0.01064847159742091,-1.5034302636703177e-20
0.048,-8.46602308822928e-05,-1.736847044590885e-22,1.00024217893843,-0.005287466834090189,2.8830873444381082e-21,0.006166762832082525,0.9999384975718997,-5.3420082308214294e-20,-0.011090584910292264,-1.5273044715650137e-20
0.05,-9.567714168072343e-05,-1.660081112501952e-22,1.000254600471585,-0.005732332808445221,4.692839342514299e-21,0.006254704962429499,0.9999335241411667,-4.905309038770005e-20,-0.01153027747399698,-1.5853917104031428e-20
0.052000000000000005,-0.00010760102841215973,-1.5466661243509115e-22,1.0002671979466207,-0.006194430434204729,6.6562984182536764e-21,0.006342702465929269,0.9999283798571168,-3.9248767423953784e-20,-0.011968089083975593,-1.534339309132698e-20
0.054,-0.0001204662470474067,-1.400735552066142e-22,1.0002799714551407,-0.0066736495671924495,7.908668782739159e-21,0.00643073630216761,0.9999230724923608,-3.497748385131467e-20,-0.012403592118309723,-1.4557386935679362e-20
0.056,-0.0001343069705022127,-1.2278286637106081e-22,1.0002929210500513,-0.0071699223452451385,9.318107810471382e-21,0.006518786694192544,0.999917600685633,-2.5251681245100793e-20,-0.012837127368987435,-1.4048175405941555e-20
0.058,-0.00014915720642991572,-1.0348982528940401e-22,1.0003060467456861,-0.007683147359696947,9.91131911456075e-21,0.0066068349443686265,0.9999119705673242,-1.5572559640335744e-20,-0.01326842553474859,-1.3540096212941625e-20
0.06,-0.00016505078316168432,-8.295815508182036e-23,1.0003193485186477,-0.008213249881369022,1.0557029907425594e-20,0.006694861938231645,0.9999061820796399,-5.947074476909597e-21,-0.013697701957573801,-1.2348258715727375e-20
0.062,-0.00018202136095549798,-6.173175696793591e-23,1.0003328263080544,-0.008760134038432678,1.0714443324787853e-20,0.006782849372515405,0.9999002402167109,-2.375439313616817e-20,-0.014124787239611226,-1.3248208141658147e-20
0.064,-0.00020010242315899685,-3.8838218497867447e-23,1.000346480016275,-0.009323720800857131,1.2331809836763792e-20,0.006870778745453623,0.9998941458004758,-3.6018167347917316e-20,-0.014549817659928419,-1.3383348930287642e-20
0.066,-0.000219327283336574,-1.2877732080187823e-23,1.0003603095092566,-0.00990391782139181,1.3564708621933977e-20,0.00695863218283254,0.9998879030409178,-4.8215317113544447e-20,-0.014972686880999954,-1.3175776920145048e-20
0.068,-0.00023972907973110274,1.6462928185731315e-23,1.0003743146171853,-0.010500643392660988,1.5819880365750432e-20,0.007046391759750325,0.999881513346066,-4.94012900793042e-20,-0.015393481373008125,-1.3831987397321984e-20
0.07,-0.00026134077979643916,4.985453917468189e-23,1.000388495134869,-0.011113807427903638,1.7471406405939047e-20,0.0071340400536312855,0.9998749803843973,-4.5082529194925185e-20,-0.015812134621911476,-1.474469497629013e-20
0.07200000000000001,-0.00028419517674465895,8.674158185038844e-23,1.0004028508223441,-0.011743326571287781,1.9387673481202014e-20,0.0072215596904299795,0.999868305948293,-4.088002764072052e-20,-0.01622870173769498,-1.1201807341439294e-20
0.074,-0.00030832489244712516,1.2685972842897444e-22,1.0004173814052966,-0.012389112204224676,2.070259323043591e-20,0.007308933713247691,0.9998614933305533,-3.124450357845782e-20,-0.01664314137403866,-5.522779050053689e-21
0.076,-0.0003337623753018885,1.6962174595719954e-22,1.0004320865756289,-0.01305107997620329,2.2067856291623338e-20,0.007396145279703358,0.9998545445702977,-3.253054641898475e-20,-0.017055488914804687,-5.1792934540466855e-21
0.078,-0.0003605399021106749,2.150559140230309e-22,1.0004469659919055,-0.013729142241937884,2.337469722564414e-20,0.007483177906631188,0.9998474626971843,-3.928101255532678e-20,-0.01746571893748113,-5.615344867213984e-21
0.08,-0.00038868957678366554,2.6362263606130534e-22,1.0004620192798934,-0.014423214073345826,2.5164158609334653e-20,0.00757001526878884,0.999840249903752,-4.054092640843782e-20,-0.017873854436109653,-4.584731953559848e-21
0.082,-0.0004182433315753604,3.153476087894552e-22,1.00047724603302,-0.015133208491079037,2.6569019856499867e-20,0.0076566413606370355,0.9998329090324134,-3.633787581944357e-20,-0.01827988008117627,-2.773568852422766e-21
0.084,-0.00044923292632216403,3.70112572022227e-22,1.0004926458128953,-0.015859040257235217,2.813218181848364e-20,0.007743040362700879,0.9998254423661551,-3.2159136987633763e-20,-0.018683811102733466,-6.242832873318419e-22
0.08600000000000001,-0.0004816899492785557,4.276564026935016e-22,1.0005082181497773,-0.01660062286920233,2.963633769690343e-20,0.00782919674807516,0.9998178526110467,-6.085720859027841e-20,-0.0190856385860061,-8.079215739960216e-22
0.088,-0.0005156458166953012,4.899891102795018e-22,1.0005239625430788,-0.017357870952723176,3.281212370504994e-20,0.007915095193785244,0.9998101420982001,-8.395037259155665e-20,-0.019485372913483404,-8.854996976626483e-22
0.09,-0.000551131773408103,5.5875127646194625e-22,1.0005398784618371,-0.01813069836715228,3.613716702249192e-20,0.008000720650567547,0.9998023134313059,-1.0690749967826334e-19,-0.019883009264427053,-2.3319057533542875e-21
0.092,-0.0005881788926351439,6.358627792972903e-22,1.000555965345209,-0.018919019715786325,4.1016479212171497e-20,0.008086058284062737,0.9997943689612483,-1.1335288255149712e-19,-0.020278555012126536,-7.058864756179697e-22
0.094,-0.0006268180764140982,7.2179240977302e-22,1.0005722226029408,-0.019722749152028637,4.506321411381357e-20,0.00817109352026667,0.9997863112118912,-1.1977271415638147e-19,-0.02067200796535608,1.2599003226082387e-21
0.096,-0.0006670800555424194,8.173299742108221e-22,1.0005886496158543,-0.02054180133298732,5.0660153475233324e-20,0.008255812006440951,0.9997781425349429,-1.3163662485092257e-19,-0.02106337364667596,3.450744906665056e-21
0.098,-0.0007089953899230919,9.232973927567384e-22,1.0006052457363148,-0.021376090667654453,5.53123772712347e-20,0.00834019964048701,0.9997698653893424,-1.2144632937114998e-19,-0.021452651569821395,3.3583901301860625e-21
0.1,-0.0007525944685992704,1.039250199081245e-21,1.0006220102887098,-0.02222553191937119,6.086207048442067e-20,0.00842424254485187,0.9997614821149804,-1.4959679703373756e-19,-0.021839846136314615,-6.411380683687346e-22
0.10200000000000001,-0.0007979075100467605,1.1668719504812357e-21,1.0006389425699143,-0.023090039732746433,6.676427285234216e-20,0.008507927085302118,0.9997529951156684,-1.502667280942029e-19,-0.022224957980852108,-1.9760449000151866e-21
0.10400000000000001,-0.0008449645622724024,1.3063245599053318e-21,1.0006560418497612,-0.0239695290146536,7.269292702456657e-20,0.008591239853371539,0.9997444067110525,-1.5090438517530635e-19,-0.022607990843199536,-4.67785847592662e-21
0.106,-0.0008937955030771486,1.4576609425234817e-21,1.000673307371504,-0.02486391463691684,7.86480564355413e-20,0.008674167678158989,0.9997357192562248,-1.5151047835418297e-19,-0.022988946109798136,-8.743760242988546e-21
0.108,-0.0009444300401987975,1.6209341341655134e-21,1.0006907383522805,-0.02577311167761452,8.462973674672462e-20,0.008756697614376155,0.9997269350449698,-1.5221032761585246e-19,-0.023367827147407767,-8.688959503315346e-21
0.11,-0.000996897711560634,1.796197133508433e-21,1.000708333983571,-0.026697035234592485,9.063784763695762e-20,0.008838816949561156,0.9997180563878268,-1.5288990565441434e-19,-0.023744635860462816,-9.319541418493687e-21
0.112,-0.0010512278854461934,1.9836108711320926e-21,1.0007260934316553,-0.02763560057864685,9.678045515487284e-20,0.00892051319578808,0.999709085548971,-1.5904889999546565e-19,-0.02411937542392786,-1.0078989108612496e-20
0.114,-0.0011074497607428129,2.1832278822923533e-21,1.0007440158380667,-0.028588723036908965,1.0262478355940031e-19,0.009001774093871429,0.9997000247970805,-1.2691855955251166e-19,-0.024492048111920187,-6.485374085871957e-21
0.116,-0.0011655923671405682,2.393046462080489e-21,1.0007621003200433,-0.02955631809043248,1.0698301231049421e-19,0.009082587607463376,0.9996908763642169,-1.113239903045454e-19,-0.024862657021005624,-5.702214151744704e-21
0.11800000000000001,-0.001225684565376545,2.6115443147760038e-21,1.0007803459709754,-0.030538301301621287,1.1159302192610517e-19,0.009162941925284196,0.9996816424789235,-1.1779026887893375e-19,-0.025231204700567226,-3.411366513531774e-21
0.12,-0.0012877550474529051,2.83926061790563e-21,1.0007987518608519,-0.0315345883767331,1.1612913976101486e-19,0.00924282545677171,0.9996723253394715,-1.2421510091273453e-19,-0.025597694239408594,-1.4681995636397185e-21
0.122,-0.001351832336885453,3.0766244216652514e-21,1.0008173170367025,-0.0325450951210615,1.2124022319968213e-19,0.00932222683301674,0.9996629271353674,-1.2509775740145348e-19,-0.025962128401758135,-7.380995717710162e-23
0.124,-0.0014179447889375637,3.323772900048949e-21,1.0008360405230377,-0.033569737479292365,1.2584157991711155e-19,0.009401134903418096,0.9996534500299672,-1.2047193397042338e-19,-0.02632451031233457,1.1173545071194541e-21
0.126,-0.0014861205908752134,3.580264869252655e-21,1.000854921322285,-0.034608431508167496,1.3058376433488743e-19,0.009479538735767849,0.999643896174434,-1.1038343640979202e-19,-0.02668484291123992,2.7924729383409444e-21
