t,px,py,pz,vx,vy,vz,qw,qx,qy,qz
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.002,0.0,0.0,0.9999979893262222,0.0,0.0,-0.002010673777777779,1.0,0.0,0.0,0.0
0.004,0.0,0.0,0.9999919577497661,0.0,0.0,-0.004020902678256196,1.0,0.0,0.0,0.0
0.006,0.0,0.0,0.9999819061579991,0.0,0.0,-0.006030689088769013,1.0,0.0,0.0,0.0
0.008,0.0,0.0,0.9999678354335237,0.0,0.0,-0.008040035386595154,1.0,0.0,0.0,0.0
0.01,0.0,0.0,0.9999497464541981,0.0,0.0,-0.010048943938997412,1.0,0.0,0.0,0.0
0.012,0.0,0.0,0.9999276400931558,0.0,0.0,-0.012057417103260998,1.0,0.0,0.0,0.0
0.014,0.0,0.0,0.9999015172188258,0.0,0.0,-0.014065457226731953,1.0,0.0,0.0,0.0
0.016,0.0,0.0,0.9998713786949522,0.0,0.0,-0.016073066646855413,1.0,0.0,0.0,0.0
0.018000000000000002,0.0,0.0,0.9998372253806141,0.0,0.0,-0.018080247691213757,1.0,0.0,0.0,0.0
0.02,0.0,0.0,0.9997990581302454,0.0,0.0,-0.02008700267756456,1.0,0.0,0.0,0.0
0.022,0.0,0.0,0.999756877793654,0.0,0.0,-0.022093333913878466,1.0,0.0,0.0,0.0
0.024,0.0,0.0,0.9997106852160417,0.0,0.0,-0.024099243698376887,1.0,0.0,0.0,0.0
0.026000000000000002,0.0,0.0,0.9996604812380238,0.0,0.0,-0.026104734319569573,1.0,0.0,0.0,0.0
0.028,0.0,0.0,0.9996062666956479,0.0,0.0,-0.02810980805629204,1.0,0.0,0.0,0.0
0.03,0.0,0.0,0.9995480424204138,0.0,0.0,-0.03011446717774286,1.0,0.0,0.0,0.0
0.032,0.0,0.0,0.9994858092392925,0.0,0.0,-0.032118713943520824,1.0,0.0,0.0,0.0
0.034,0.0,0.0,0.9994195679747454,0.0,0.0,-0.03412255060366194,1.0,0.0,0.0,0.0
0.036000000000000004,0.0,0.0,0.999349319444743,0.0,0.0,-0.03612597939867633,1.0,0.0,0.0,0.0
0.038,0.0,0.0,0.9992750644627848,0.0,0.0,-0.038129002559584964,1.0,0.0,0.0,0.0
0.04,0.0,0.0,0.9991968038379173,0.0,0.0,-0.04013162230795627,1.0,0.0,0.0,0.0
0.042,0.0,0.0,0.9991145383747534,0.0,0.0,-0.042133840855942614,1.0,0.0,0.0,0.0
0.044,0.0,0.0,0.9990282688734912,0.0,0.0,-0.04413566040631663,1.0,0.0,0.0,0.0
0.046,0.0,0.0,0.9989379961299324,0.0,0.0,-0.04613708315250743,1.0,0.0,0.0,0.0
0.048,0.0,0.0,0.9988437209355012,0.0,0.0,-0.04813811127863665,1.0,0.0,0.0,0.0
0.05,0.0,0.0,0.9987454440772631,0.0,0.0,-0.05013874695955443,1.0,0.0,0.0,0.0
0.052000000000000005,0.0,0.0,0.9986431663379426,0.0,0.0,-0.052138992360875165,1.0,0.0,0.0,0.0
0.054,0.0,0.0,0.9985368884959427,0.0,0.0,-0.054138849639013234,1.0,0.0,0.0,0.0
0.056,0.0,0.0,0.9984266113253625,0.0,0.0,-0.05613832094121849,1.0,0.0,0.0,0.0
0.058,0.0,0.0,0.9983123355960156,0.0,0.0,-0.058137408405611705,1.0,0.0,0.0,0.0
0.06,0.0,0.0,0.9981940620734487,0.0,0.0,-0.06013611416121982,1.0,0.0,0.0,0.0
0.062,0.0,0.0,0.9980717915189595,0.0,0.0,-0.06213444032801111,1.0,0.0,0.0,0.0
0.064,0.0,0.0,0.9979455246896146,0.0,0.0,-0.06413238901693019,1.0,0.0,0.0,0.0
0.066,0.0,0.0,0.9978152623382678,0.0,0.0,-0.06612996232993291,1.0,0.0,0.0,0.0
0.068,0.0,0.0,0.9976810052135778,0.0,0.0,-0.06812716236002113,1.0,0.0,0.0,0.0
0.07,0.0,0.0,0.9975427540600266,0.0,0.0,-0.07012399119127728,1.0,0.0,0.0,0.0
0.07200000000000001,0.0,0.0,0.9974005096179364,0.0,0.0,-0.07212045089889897,1.0,0.0,0.0,0.0
0.074,0.0,0.0,0.9972542726234882,0.0,0.0,-0.07411654354923328,1.0,0.0,0.0,0.0
0.076,0.0,0.0,0.9971040438087392,0.0,0.0,-0.07611227119981104,1.0,0.0,0.0,0.0
0.078,0.0,0.0,0.99694982390164,0.0,0.0,-0.07810763589938094,1.0,0.0,0.0,0.0
