t,px,py,pz,vx,vy,vz,qw,qx,qy,qz
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.002,2.9740140867934637e-09,0.0,1.0000042084571739,5.948027965113971e-06,0.0,0.004208456060207548,0.9999999299018263,0.0,0.0003744280205321799,0.0
0.004,3.792400109169874e-08,-4.3479502067425004e-31,1.0000127060193544,3.2385626835146095e-05,-2.700682373489753e-23,0.00428910184303684,0.9999996042450688,4.112708851249228e-27,0.0008896683123118952,-3.426614377520907e-22
0.006,1.4265054371556727e-07,-5.403016637191274e-26,1.000021365459013,7.539643154077578e-05,-2.702966752668109e-23,0.004370330957172686,0.9999990820876763,2.681662149353338e-25,0.0013549257563075375,-7.704807833452063e-22
0.008,3.5437287360304056e-07,-1.0816102873713758e-25,1.0000301879092717,0.00013961731785926829,-2.711372589121906e-23,0.004452108732487094,0.9999982774654035,1.0189832742587565e-24,0.0018560889596353942,-1.1972864680343483e-21
0.01,7.121225086041696e-07,-1.6253901658308967e-25,1.0000391744512915,0.00022121165824931323,-2.7279581124806886e-23,0.0045344204124572515,0.9999972973070961,2.5926732701449668e-24,0.002324946989373719,-1.2808259301726837e-21
0.012,1.253183282381025e-06,-2.1734844076093464e-25,1.0000483261176678,0.00032307213203243635,-2.754985898154306e-23,0.004617229395330515,0.9999960360006364,3.646634941750345e-24,0.0028156674189354788,-1.706828089952002e-21
0.014,2.01591832834191e-06,-2.728203433245913e-25,1.0000576438879667,0.0004427470551212402,-2.794897796916378e-23,0.004700522087341619,0.9999946036141599,5.216373863490129e-24,0.0032852309750175984,-2.132227822214164e-21
0.016,3.0375247148352963e-06,-3.2924698506919363e-25,1.0000671286954412,0.0005820289716136122,-2.8502385840656693e-23,0.004784263031127685,0.9999929018180229,1.0051838672023033e-23,0.0037677995660686378,-1.529451733549135e-21
0.018000000000000002,4.3558164269830384e-06,-3.868999926692993e-25,1.0000767814209515,0.0007393396700136947,-2.9164529033641025e-23,0.00486843785071961,0.9999910270875259,1.4017614654343956e-23,0.004236241781955125,-9.285071924158161e-22
0.02,6.007808156979895e-06,-4.459531926466644e-25,1.0000866029001363,0.0009157777905407954,-2.989751666245346e-23,0.004953013363042188,0.9999888979834176,1.484538915263255e-23,0.004712102493601559,-1.0143024778546384e-21
0.022,8.03083982010808e-06,-5.065388344062023e-25,1.0000965939176119,0.0011103160041110948,-3.070091752648437e-23,0.005037973825756992,0.9999865926676752,1.5875992644335824e-23,0.005178270453847217,-1.0998953051247745e-21
0.024,1.0461683313559287e-05,-5.688167587137617e-25,1.0001067552134044,0.0013236152717736238,-3.1595104906803024e-23,0.005123288535234561,0.9999840480380252,1.377175761459501e-23,0.005648333336882642,-1.8697884490059866e-21
0.026000000000000002,1.3337251733824662e-05,-6.330112067757765e-25,1.0001170874781369,0.001554995689049769,-3.262874197660333e-23,0.005208940415539298,0.9999813246129595,1.058889661499023e-23,0.00611149943228909,-2.980111032748551e-21
0.028,1.6694035985031727e-05,-6.994789198507897e-25,1.0001275913583523,0.001804842149225923,-3.3885028500728715e-23,0.005294901053991837,0.999978375654984,6.5230420549586734e-24,0.006576338070657663,-4.4304633915918984e-21
0.03,2.056855206833698e-05,-7.687643531355298e-25,1.0001382674528296,0.0020726938543044,-3.546571779220331e-23,0.005381152312136726,0.9999752467418314,-5.824545036014377e-25,0.007036043178774336,-6.563100800382414e-21
0.032,2.4996985735757572e-05,-8.416641814130166e-25,1.0001491163168077,0.002358761566313095,-3.753647110884981e-23,0.005467667750127418,0.9999719044533395,-1.4549190598281207e-23,0.007496019207654616,-1.0061312814418529e-20
0.034,3.001547458506196e-05,-9.193920844047272e-25,1.0001601384593288,0.0026627226677355576,-4.0333014523633374e-23,0.005554428494089923,0.9999683825566237,-2.535249793285384e-23,0.007951973785811854,-1.3552066565887753e-20
0.036000000000000004,3.565988393524435e-05,-1.0036398667289181e-24,1.0001713343465164,0.0029846780876092577,-4.409356637433498e-23,0.005641409751362836,0.9999646578991962,-3.055177528463063e-23,0.008407315418361578,-1.6692727460311407e-20
0.038,4.196598473803445e-05,-1.0965612450384073e-24,1.0001827043997653,0.003324392353877421,-4.9026558497863526e-23,0.005728592216129626,0.9999607553028151,-7.662732717941003e-24,0.008859337121024083,-1.6741302691096476e-20
0.04,4.896931222113559e-05,-1.200528174700324e-24,1.000194248998265,0.003681897121709681,-5.514093858380213e-23,0.005815952458919736,0.9999566592542608,-5.4714817935114285e-21,0.00931018866933706,-1.7084636492673368e-20
0.042,5.6705278096655465e-05,-1.137906897053483e-24,1.0002059684778457,0.004057011882074569,1.5349450934210816e-22,0.005903470993663014,0.9999523879939752,-5.444417885966686e-21,0.009758163000628206,-1.81634987344834e-20
0.044,6.520908141169145e-05,-7.682357538575336e-25,1.0002178631329277,0.004449724602714443,3.5589050480645484e-23,0.005991125525349938,0.99994793154953,2.2042318694032012e-20,0.010204616103370836,-1.7109428986910368e-20
0.046,7.451577932342105e-05,-1.9333618947858124e-24,1.000229933215857,0.004859889445637825,-1.1642913122796859e-21,0.0060788965835963694,0.9999433034190686,2.1963149497802447e-20,0.010648471597420908,-1.8175588032558153e-20
0.048,8.466023088229278e-05,-4.773257219416015e-24,1.00024217893843,0.005287466834090188,-1.711249397003509e-21,0.006166762832082525,0.9999384975718997,2.736756079090342e-20,0.011090584910292262,-1.9297218537373814e-20
0.05,9.56771416807234e-05,-9.643329582609108e-24,1.000254600471585,0.00573233280844522,-3.1224276545244403e-21,0.006254704962429499,0.9999335241411667,2.728355947153548e-20,0.011530277473996979,-2.104004581481783e-20
0.052000000000000005,0.00010760102841215968,-1.6610902709610162e-23,1.0002671979466207,0.0061944304342047285,-3.664658527010801e-21,0.006342702465929269,0.9999283798571168,2.1715588017414137e-20,0.011968089083975592,-2.305739469951986e-20
0.054,0.00012046624704740666,-2.5131297308325153e-23,1.0002799714551407,0.006673649567192449,-4.855586134529456e-21,0.00643073630216761,0.9999230724923608,1.617957591954548e-20,0.012403592118309721,-2.4727117723136613e-20
0.056,0.00013430697050221264,-3.5202330619231617e-23,1.0002929210500513,0.007169922345245137,-5.287469736906579e-21,0.006518786694192543,0.999917600685633,2.1626997772524192e-20,0.012837127368987433,-2.6186287604107684e-20
0.058,0.00014915720642991566,-4.718329403162707e-23,1.0003060467456861,0.007683147359696945,-6.801393653053368e-21,0.006606834944368625,0.9999119705673242,3.253172504462483e-20,0.013268425534748588,-2.771306035679927e-20
0.06,0.00016505078316168427,-6.171986953629222e-23,1.0003193485186477,0.008213249881369018,-7.66258711399909e-21,0.006694861938231644,0.9999061820796399,1.5988753092179677e-20,0.013697701957573801,-2.7844290278147106e-20
0.062,0.00018202136095549792,-7.783326816712222e-23,1.0003328263080544,0.008760134038432675,-8.522858579155325e-21,0.0067828493725154045,0.9999002402167109,2.6962130148055144e-20,0.014124787239611226,-2.6295064621353822e-20
0.064,0.0002001024231589968,-9.60986139625329e-23,1.000346480016275,0.009323720800857128,-9.814168553446366e-21,0.006870778745453622,0.9998941458004758,3.789602715549004e-20,0.014549817659928419,-2.3721664009662136e-20
0.066,0.00021932728333657394,-1.1737570700822506e-22,1.0003603095092566,0.009903917821391807,-1.1534239031908627e-20,0.006958632182832539,0.9998879030409178,4.877103822431328e-20,0.014972686880999954,-2.1496214969365995e-20
0.068,0.00023972907973110268,-1.4251979735074015e-22,1.0003743146171853,0.010500643392660984,-1.3680800000334428e-20,0.007046391759750324,0.999881513346066,5.959242832669054e-20,0.015393481373008125,-1.9275672962699924e-20
0.07,0.00026134077979643905,-1.7238161164234218e-22,1.000388495134869,0.011113807427903634,-1.6251601802934007e-20,0.007134040053631285,0.9998749803843973,7.036588399297476e-20,0.015812134621911476,-1.6717414490742194e-20
0.07200000000000001,0.00028419517674465884,-2.0759115447162497e-22,1.0004028508223441,0.011743326571287778,-1.8920069987658974e-20,0.007221559690429978,0.999868305948293,5.911587990241492e-20,0.01622870173769498,-1.6559050878773126e-20
0.074,0.00030832489244712506,-2.476215615309966e-22,1.0004173814052966,0.012389112204224673,-2.1036695362669222e-20,0.00730893371324769,0.9998614933305533,5.885983571222911e-20,0.01664314137403866,-1.7264548974509374e-20
0.076,0.0003337623753018884,-2.9227275659456458e-22,1.0004320865756289,0.013051079976203287,-2.3685032528533823e-20,0.0073961452797033575,0.9998545445702977,6.408141386245902e-20,0.017055488914804687,-1.8401907556927718e-20
0.078,0.0003605399021106748,-3.421738417578748e-22,1.0004469659919055,0.013729142241937881,-2.6214348564890048e-20,0.007483177906631189,0.9998474626971843,6.927934649554678e-20,0.01746571893748113,-1.9536448278734818e-20
0.08,0.0003886895767836654,-3.975917888799426e-22,1.0004620192798934,0.014423214073345823,-2.916570190415371e-20,0.007570015268788841,0.999840249903752,6.898297684312754e-20,0.017873854436109653,-1.988718584510266e-20
0.082,0.0004182433315753602,-4.584315023307618e-22,1.00047724603302,0.015133208491079034,-3.167224920883995e-20,0.007656641360637037,0.9998329090324134,6.32321084114922e-20,0.01827988008117627,-1.945421457983669e-20
0.084,0.00044923292632216387,-5.244546955339511e-22,1.0004926458128953,0.015859040257235214,-3.427727906585934e-20,0.00774304036270088,0.9998254423661551,5.750784216490417e-20,0.018683811102733466,-1.902257557214799e-20
0.08600000000000001,0.00048168994927855554,-5.950647531660601e-22,1.0005082181497773,0.016600622869202327,-3.633136677987048e-20,0.00782919674807516,0.9998178526110467,5.1810886080050697e-20,0.0190856385860061,-1.8592279738709076e-20
0.088,0.0005156458166953011,-6.697754303098712e-22,1.0005239625430788,0.017357870952723172,-3.827003260853347e-20,0.007915095193785244,0.9998101420982001,3.51834275829014e-20,0.019485372913483404,-1.8297279029709782e-20
0.09,0.0005511317734081029,-7.471667787689354e-22,1.0005398784618371,0.018130698367152278,-3.9012559801432764e-20,0.008000720650567547,0.9998023134313059,1.3134337513189171e-20,0.019883009264427053,-1.8924764331296197e-20
0.092,0.0005881788926351438,-8.258612327217177e-22,1.000555965345209,0.01891901971578632,-3.975395774626348e-20,0.008086058284062737,0.9997943689612483,2.4113175552775376e-20,0.020278555012126536,-1.780745566450681e-20
0.094,0.000626818076414098,-9.064700139724202e-22,1.0005722226029408,0.019722749152028634,-4.092652749240905e-20,0.00817109352026667,0.9997863112118912,3.504551025621533e-20,0.02067200796535608,-1.6350079868455966e-20
0.096,0.0006670800555424193,-9.898532395653855e-22,1.0005886496158543,0.020541801332987317,-4.2528042485961774e-20,0.008255812006440951,0.9997781425349429,4.594588968495637e-20,0.02106337364667596,-1.386827425366395e-20
0.098,0.0007089953899230918,-1.0766502669030871e-21,1.0006052457363148,0.02137609066765445,-4.4231832834689634e-20,0.00834019964048701,0.9997698653893424,2.935706590518715e-20,0.021452651569821395,-1.218394090060291e-20
0.1,0.0007525944685992703,-1.1660190228779256e-21,1.0006220102887098,0.022225531919371187,-4.517237919058795e-20,0.00842424254485187,0.9997614821149804,3.472082154909927e-20,0.021839846136314615,-1.3372614138816565e-20
0.10200000000000001,0.0007979075100467604,-1.2580953908373984e-21,1.0006389425699143,0.02309003973274643,-4.686711368156649e-20,0.008507927085302118,0.9997529951156684,2.906981571134629e-20,0.022224957980852108,-1.5003248361819888e-20
0.10400000000000001,0.0008449645622724023,-1.352436716896576e-21,1.0006560418497612,0.023969529014653598,-4.747349312499107e-20,0.008591239853371539,0.9997444067110525,2.3426386637957665e-20,0.022607990843199536,-1.697225998183535e-20
0.106,0.0008937955030771485,-1.448673486417682e-21,1.000673307371504,0.024863914636916836,-4.8726622121563725e-20,0.008674167678158989,0.9997357192562248,1.7790737592117806e-20,0.022988946109798136,-1.927843970875964e-20
0.108,0.0009444300401987974,-1.5463295147296013e-21,1.0006907383522805,0.025773111677614518,-4.8892944211785404e-20,0.008756697614376155,0.9997269350449698,1.2366070963943394e-21,0.023367827147407767,-2.0642695820991372e-20
0.11,0.000996897711560634,-1.6444626430215946e-21,1.000708333983571,0.026697035234592482,-4.927633101002142e-20,0.008838816949561158,0.9997180563878268,1.2246494028742183e-20,0.023744635860462816,-1.9220349470430946e-20
0.112,0.0010512278854461934,-1.7435056959910532e-21,1.0007260934316553,0.027635600578646845,-4.987461793478809e-20,0.008920513195788082,0.999709085548971,2.8659391846011294e-20,0.02411937542392786,-1.89582033354611e-20
0.114,0.0011074497607428129,-1.8448613485281692e-21,1.0007440158380667,0.028588723036908962,-5.15524558405786e-20,0.009001774093871429,0.9997000247970805,4.4991784879927734e-20,0.024492048111920187,-1.9380416398362025e-20
0.116,0.0011655923671405682,-1.9497106000236586e-21,1.0007621003200433,0.029556318090432476,-5.3439806369058033e-20,0.009082587607463376,0.9996908763642169,6.125415063563243e-20,0.024862657021005624,-1.9457742028088493e-20
0.11800000000000001,0.001225684565376545,-2.0595525489278752e-21,1.0007803459709754,0.030538301301621284,-5.661666415698309e-20,0.009162941925284196,0.9996816424789235,9.386963052306354e-20,0.025231204700567226,-1.9942621041395217e-20
0.12,0.0012877550474529051,-2.1764194042259036e-21,1.0007987518608519,0.0315345883767331,-6.010326173640818e-20,0.009242825456771709,0.9996723253394715,7.700644689956994e-20,0.025597694239408594,-1.952237779742884e-20
0.122,0.001351832336885453,-2.2993773394387445e-21,1.0008173170367025,0.0325450951210615,-6.281634960939008e-20,0.009322226833016738,0.9996629271353674,7.113796314528732e-20,0.025962128401758135,-2.075482272377983e-20
0.124,0.0014179447889375637,-2.4279650308101006e-21,1.0008360405230377,0.033569737479292365,-6.573320485184147e-20,0.009401134903418094,0.9996534500299672,7.077806592206603e-20,0.02632451031233457,-2.2127942862659237e-20
0.126,0.0014861205908752134,-2.5619760106395595e-21,1.000854921322285,0.034608431508167496,-6.820360941699664e-20,0.009479538735767847,0.999643896174434,6.494987607538419e-20,0.02668484291123992,-2.3010681318899552e-20
0.128,0.0015563877622146222,-2.7011684231154577e-21,1.000873958415224,0.03566109340285243,-7.109508368507901e-20,0.00955742761355493,0.9996342676964529,8.113518253428807e-20,0.027043129385791242,-2.2078779068363603e-20
