t,px,py,pz,vx,vy,vz,qw,qx,qy,qz
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.002,0.0,-2.9740140867934637e-09,1.0000042084571739,0.0,-5.948027965113971e-06,0.004208456060207548,0.9999999299018263,0.0003744280205321799,0.0,0.0
0.004,0.0,-3.7929851411225746e-08,1.0000127060193469,2.7002909059968774e-23,-3.239732746960719e-05,0.004289101825223954,0.999999603452116,0.000890559156163018,2.741278965904981e-21,-8.46389473110463e-23
0.006,1.979769971846513e-25,-1.4272995924277533e-07,1.0000213654588606,1.8893338917140438e-22,-7.546165839986848e-05,0.004370330815525845,0.9999990801859808,0.0013563285708696935,5.475943386326817e-21,-8.348032602376002e-23
0.008,8.2737995817532e-25,-3.546375059541093e-07,1.0000301879086317,4.583453416705635e-22,-0.00013974178215504448,0.004452108360950971,0.9999982735949551,0.0018581730568581764,8.197845190070028e-21,-8.334877183914155e-23
0.01,2.10264301502559e-24,-7.12736182865367e-07,1.00003917444944,8.347035253095633e-22,-0.00022144032162887205,0.004534419540514401,0.9999972910116427,0.0023276531906534503,1.0907960294478117e-20,-9.39423817929016e-22
0.012,4.2370836655609306e-24,-1.2543589422194111e-06,1.0000483261134252,1.3174313168156882e-21,-0.0003234092685965091,0.004617227837450039,0.9999960267401771,0.002818954391107129,1.3603696517816448e-20,-1.4510757166061347e-21
0.014,7.442887447640671e-24,-2.0179154132722466e-06,1.000057643879553,1.9059802655918847e-21,-0.0004432356454412001,0.004700519425476495,0.9999945906561232,0.0032891729192280473,1.6283635739593143e-20,-9.336879064126023e-22
0.016,1.19311932814485e-23,-3.0406529651059146e-06,1.0000671286803768,2.599857917467877e-21,-0.0005826750597626973,0.004784258991003655,0.9999928849400614,0.003772276401992743,1.895156954135481e-20,-4.1777280153052345e-22
0.018000000000000002,1.7912180876822873e-23,-4.360429235475488e-06,1.0000767813959508,3.398585849195145e-21,-0.0007401824122593708,0.004868431890730547,0.9999910053537824,0.004241369063354879,2.1607164904235822e-20,9.754672744603699e-23
0.02,2.5595081924015494e-23,-6.014308470034462e-06,1.0000866028609863,4.3016944755961025e-21,-0.0009168259329564259,0.0049530051097566915,0.9999888713819363,0.00471774440610682,2.4250849915372623e-20,6.114395291246406e-22
0.022,3.5188183038244905e-23,-8.039672722066728e-06,1.000096593859095,5.308712310105485e-21,-0.0011116045850568012,0.005037962634842622,0.9999865601726615,0.005184541835880807,2.6882453609272212e-20,1.1234793183577414e-21
0.024,4.689883035035926e-23,-1.0473341852204394e-05,1.000106755129166,6.419166388114489e-21,-0.0013251556444676873,0.005123273928227503,0.9999840097390956,0.005655109735460271,2.950028188104404e-20,1.9772070657274517e-21
0.026000000000000002,6.093344291283762e-23,-1.3352270132663144e-05,1.0001170873606262,7.63260121379781e-21,-0.0015568191346602529,0.005208921660740837,0.999981279488019,0.006118878451490874,3.21101607116287e-20,2.144547065590112e-21
0.028,7.749749864386622e-23,-1.6712994546297224e-05,1.000127591198688,8.948530627378949e-21,-0.0018069621414114503,0.005294877567104086,0.999978323816352,0.006584215780084202,3.470976300819093e-20,1.9683052591342593e-21
0.03,9.679547793335881e-23,-2.059207147928533e-05,1.0001382672407517,1.036644187875093e-20,-0.0020751384879111995,0.005381123284592475,0.9999751872315789,0.007044495806558589,3.729686866413293e-20,1.7925763867022112e-21
0.032,1.190308310517228e-22,-2.5025730842525982e-05,1.0001491160405467,1.188582206441842e-20,-0.0023615458619801457,0.005467632494905511,0.9999718373599543,0.007504964154271435,3.9871545094862995e-20,1.6171715849145805e-21
