section,maneuver,run,pos_err_m,settle_s,overshoot_m,att_err_deg,success
single,forward,1,0.004412145280445023,1.8820000000000001,0.06461015808064863,0.008759230798383444,True
single,forward,2,0.004412145280445023,1.8820000000000001,0.06461015808064863,0.008759230798383444,True
single,forward,3,0.004412145280445023,1.8820000000000001,0.06461015808064863,0.008759230798383444,True
single,back,1,0.004412145280445023,1.8820000000000001,0.0,0.008759230798383444,True
single,back,2,0.004412145280445023,1.8820000000000001,0.0,0.008759230798383444,True
single,back,3,0.004412145280445023,1.8820000000000001,0.0,0.008759230798383444,True
single,left,1,0.004408941781583538,1.8820000000000001,0.06443652748195339,0.008842851147024015,True
single,left,2,0.004408941781583538,1.8820000000000001,0.06443652748195339,0.008842851147024015,True
single,left,3,0.004408941781583538,1.8820000000000001,0.06443652748195339,0.008842851147024015,True
single,right,1,0.004408941781583538,1.8820000000000001,0.0,0.008842851147024015,True
single,right,2,0.004408941781583538,1.8820000000000001,0.0,0.008842851147024015,True
single,right,3,0.004408941781583538,1.8820000000000001,0.0,0.008842851147024015,True
single,up,1,0.00033935268807105956,0.878,0.9996606473119289,0.0,True
single,up,2,0.00033935268807105956,0.878,0.9996606473119289,0.0,True
single,up,3,0.00033935268807105956,0.878,0.9996606473119289,0.0,True
single,down,1,0.00033935268806994934,0.878,0.00033935268806994934,0.0,True
single,down,2,0.00033935268806994934,0.878,0.00033935268806994934,0.0,True
single,down,3,0.00033935268806994934,0.878,0.00033935268806994934,0.0,True
single,hover,1,0.0,0.0,0.0,0.0,True
single,hover,2,0.0,0.0,0.0,0.0,True
single,hover,3,0.0,0.0,0.0,0.0,True
single,stop,1,0.0,0.0,0.0,0.0,True
single,stop,2,0.0,0.0,0.0,0.0,True
single,stop,3,0.0,0.0,0.0,0.0,True
